iter	MAE
191	0.1948648719
192	0.1944902838
193	0.1940682133
194	0.1936203928
195	0.1932956675
196	0.1930541922
197	0.192647032
198	0.1922696592
199	0.1919155447
200	0.1915141465
201	0.191151594
202	0.1908234039
203	0.1905150031
204	0.1901902083
205	0.1898839488
206	0.1895683175
207	0.1892430929
208	0.188957997
209	0.1885571771
210	0.188263707
211	0.1878283505
212	0.187567027
213	0.1872907569
214	0.187011513
215	0.1867379142
216	0.1864922701
217	0.1862447007
218	0.1859596386
219	0.1857301345
220	0.1854601482
221	0.1852176785
222	0.1849738642
223	0.1847348414
224	0.1844752013
225	0.1841849747
226	0.1839559624
227	0.1837220421
228	0.1834899568
229	0.1831966531
230	0.1829446153
231	0.182745435
232	0.182356497
233	0.1820486194
234	0.1818359899
235	0.1816143863
236	0.1814131014
237	0.1812549431
238	0.1810334721
239	0.1808347005
240	0.1806432677
241	0.1804325063
242	0.1802221348
243	0.1800185281
244	0.1798630363
245	0.1796644553
246	0.1794523673
247	0.1792910095
248	0.1790931531
249	0.1789358943
250	0.1787294561
251	0.1785499062
252	0.1783889676
253	0.1782053492
254	0.178034314
255	0.1778685468
256	0.1776954397
257	0.1775089257
258	0.1773461818
259	0.1771985277
260	0.1769594028
261	0.1767884645
262	0.1766405417
263	0.1764292025
264	0.1762931771
265	0.1761469698
266	0.1759859806
267	0.175673733
268	0.1755119241
269	0.1753074797
270	0.1751946351
271	0.1750488509
272	0.1748894257
273	0.1747452043
274	0.174615636
275	0.1744874262
276	0.1743549379
277	0.1741926827
278	0.1739538805
279	0.173793339
280	0.1736644449
281	0.1735527714
282	0.1734364023
283	0.1732506489
284	0.1731204189
285	0.1729863577
286	0.1728846611
287	0.1727339953
288	0.1726146874
289	0.1724741547
290	0.1723493229
291	0.1721780796
292	0.1718692582
293	0.1716465288
294	0.171505539
295	0.1713927357
296	0.1712885109
297	0.1711865221
298	0.1710043735
299	0.1708613547
300	0.1707027515
301	0.1706033071
302	0.170390645
303	0.1702889033
304	0.1701595853
305	0.1700500379
306	0.1697948257
307	0.1696899215
308	0.169546194
309	0.1694021418
310	0.1693022018
311	0.1691713574
312	0.169014413
313	0.1688171188
314	0.168610881
315	0.1685323697
316	0.1683154926
317	0.1682257687
318	0.1680300981
319	0.1679387382
320	0.1677714331
321	0.167605782
322	0.1675210144
323	0.1674436235
324	0.1672476145
325	0.1671113461
326	0.1669939909
327	0.1669002297
328	0.1668308437
329	0.1667297326
330	0.1666510245
331	0.1664987536
332	0.166426643
333	0.1663480773
334	0.1662153615
335	0.1661209205
336	0.1659579428
337	0.1658683214
338	0.1656759823
339	0.1655591155
340	0.165374653
341	0.1652173064
342	0.1651269734
343	0.16500162
344	0.1648422019
345	0.1647725863
346	0.1646656154
347	0.1645927159
348	0.1644681476
349	0.1642927427
350	0.1641757123
351	0.1640947828
352	0.1639622439
353	0.1638456461
354	0.1637028241
355	0.1635527946
356	0.1634381604
357	0.1633267733
358	0.1632038212
359	0.1631329935
360	0.1630066856
361	0.1629388923
362	0.1627882202
363	0.1626852943
364	0.1626015466
365	0.1624509932
366	0.1623587064
367	0.1622615598
368	0.1621498604
369	0.1620471226
370	0.1619759937
371	0.1619096304
372	0.1617584564
373	0.1616923337
374	0.1615251911
375	0.1614333609
376	0.1613285601
377	0.1612357956
378	0.1610998899
379	0.1610276194
380	0.160912376
381	0.1608654919
382	0.1607972215
383	0.1606764587
384	0.1605191263
385	0.1604501359
386	0.1603432758
387	0.1602856932
388	0.160194362
389	0.1600400451
390	0.1599547494
391	0.159905895
392	0.1598149803
393	0.1597247374
394	0.1595918585
395	0.15945294
396	0.159380596
397	0.1593091616
398	0.1592261818
399	0.159137207
400	0.1590131351
401	0.1588698009
402	0.1587400449
403	0.1586843969
404	0.1586067052
405	0.1585259159
406	0.1584159606
407	0.1583316841
408	0.1582516917
409	0.1581959753
410	0.1580799168
411	0.157963083
412	0.1578901952
413	0.1577639778
414	0.1576522314
415	0.1575325241
416	0.1574322399
417	0.1573241763
418	0.157253699
419	0.1571678567
420	0.1570158905
421	0.1569322939
422	0.1568850411
423	0.1567158917
424	0.1565965755
425	0.1565315915
426	0.1563920745
427	0.1563206809
428	0.1562158225
429	0.1560902051
430	0.1560080703
431	0.1559184277
432	0.1558452782
433	0.1557565068
434	0.15568282
435	0.1556168328
436	0.1554882991
437	0.1554445511
438	0.1553386867
439	0.1552726949
440	0.1551505483
441	0.1550656714
442	0.1549454495
443	0.1548457178
444	0.1548076914
445	0.1546307647
446	0.1545536669
447	0.1544615672
448	0.1544018366
449	0.1543533268
450	0.1543092388
451	0.1542456446
452	0.1541423495
453	0.1540506125
454	0.1539489764
455	0.1538747567
456	0.1538174157
457	0.1537076039
458	0.1536519951
459	0.1535980156
460	0.153550486
461	0.1534397098
462	0.153352597
463	0.1533028013
464	0.1532408606
465	0.1531689407
466	0.1530907229
467	0.1530491085
468	0.1529897203
469	0.1529394967
470	0.1528951522
471	0.1527921299
472	0.1526392946
473	0.1525174617
474	0.152378853
475	0.1522693248
476	0.1521921983
477	0.1521253698
478	0.1520356379
479	0.151996781
480	0.1519445622
481	0.1518330703
482	0.1517565377
483	0.1516731383
484	0.1515924055
485	0.1515481092
486	0.1514664031
487	0.1514192164
488	0.1513750298
489	0.1512534105
490	0.1511653907
491	0.1511096171
492	0.1510393126
493	0.15093995
494	0.1508808864
495	0.1508101204
496	0.1507474298
497	0.1506779452
498	0.1506016481
499	0.1505302972
